"fn","m","f","t"
"Alise",0.00,1.00,16
"Alisha",0.02,0.98,379
"Alishia",0.00,1.00,22
"Alisia",0.00,1.00,38
"Alison",0.05,0.95,306
"Alissa",0.02,0.98,253
"Alisson",0.07,0.93,15
"Alivia",0.00,1.00,65
"Alix",0.75,0.25,36
"Aliya",0.00,1.00,38
"Aliyah",0.02,0.98,242
"Aliza",0.00,1.00,36
"Alize",0.05,0.95,79
"Alla",0.13,0.87,15
"Allan",0.97,0.03,142
"Allana",0.04,0.96,24
"Allegra",0.00,1.00,24
"Allen",0.96,0.04,353
"Allena",0.09,0.91,11
"Alley",0.00,1.00,14
"Alli",0.15,0.85,118
"Alliah",0.14,0.86,14
"Allie",0.07,0.93,447
"Allisa",0.08,0.92,12
"Allison",0.04,0.96,1014
"Allissa",0.05,0.95,19
"Alliyah",0.03,0.97,30
"Ally",0.06,0.94,390
"Allyn",0.27,0.73,11
"Allysa",0.00,1.00,24
"Allyson",0.04,0.96,153
"Allyssa",0.02,0.98,54
"Alma",0.04,0.96,221
"Alon",0.83,0.17,12
"Alona",0.03,0.97,32
"Alondra",0.02,0.98,388
"Alonna",0.00,1.00,15
"Alonso",0.95,0.05,41
"Alonzo",0.97,0.03,98
"Alora",0.00,1.00,18
"Alphonso",1.00,0.00,32
"Althea",0.00,1.00,37
"Alton",1.00,0.00,27
"Alvaro",0.95,0.05,110
"Alvin",0.98,0.02,130
"Aly",0.06,0.94,127
"Alyce",0.07,0.93,14
"Alycia",0.00,1.00,53
"Alysa",0.00,1.00,63
"Alyse",0.06,0.94,31
"Alysha",0.01,0.99,75
"Alysia",0.00,1.00,66
"Alyson",0.01,0.99,90
"Alyssa",0.01,0.99,2554
"Alysse",0.00,1.00,13
"Alyssia",0.00,1.00,50
"Alyx",0.86,0.14,14
"Ama",0.06,0.94,17
"Amada",0.00,1.00,16
"Amadou",0.74,0.26,19
"Amairani",0.27,0.73,11
"Amal",0.97,0.03,37
"Amalia",0.00,1.00,40
"Aman",0.92,0.08,51
"Amanda",0.01,0.99,3899
"Amani",0.26,0.74,104
"Amanpreet",0.75,0.25,12
"Amanuel",0.86,0.14,14
"Amar",0.92,0.08,38
"Amara",0.07,0.93,44
"Amaria",0.00,1.00,12
"Amaury",0.09,0.91,11
"Amaya",0.00,1.00,120
"Amber",0.15,0.85,2426
"Amberly",0.03,0.97,33
"Ambria",0.00,1.00,24
"Ambrosia",0.00,1.00,20
